school,sex,age,address,famsize,Pstatus,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,Medu_1.0,Medu_2.0,Medu_3.0,Medu_4.0,Fedu_1.0,Fedu_2.0,Fedu_3.0,Fedu_4.0,guardian_mother,guardian_other,traveltime_2.0,traveltime_3.0,traveltime_4.0,studytime_2.0,studytime_3.0,studytime_4.0,failures_1.0,failures_2.0,failures_3.0
GP,M,15,U,GT3,A,no,yes,no,no,yes,yes,yes,yes,4.0,5.0,2,1.0,1.0,3,0.0,14.0,16,16.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
GP,F,16,U,GT3,T,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4,1.0,2.0,2,4.0,14.0,14,14.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
GP,F,16,U,GT3,T,no,yes,yes,yes,yes,yes,yes,no,3.0,2.0,3,1.0,2.0,2,6.0,13.0,14,14.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
GP,F,16,U,GT3,T,yes,yes,no,yes,yes,yes,no,no,5.0,3.0,2,1.0,1.0,4,4.0,8.0,10,10.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
GP,M,17,U,GT3,T,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,5,2.0,4.0,5,16.0,6.0,5,5.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
GP,M,16,U,LE3,T,no,no,yes,yes,yes,yes,yes,no,3.0,1.0,3,1.0,3.0,5,4.0,8.0,10,10.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GP,M,15,U,GT3,T,no,no,no,no,yes,yes,yes,no,4.0,4.0,1,1.0,1.0,1,0.0,13.0,14,15.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
GP,M,15,U,GT3,T,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,2,1.0,1.0,5,0.0,12.0,15,15.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GP,M,16,U,LE3,T,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4,2.0,4.0,5,0.0,13.0,13,12.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
GP,F,15,R,GT3,T,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2,1.0,1.0,5,2.0,10.0,9,8.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
GP,M,15,U,GT3,T,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2,1.0,2.0,5,2.0,12.0,12,11.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
GP,M,15,U,GT3,T,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,1,1.0,1.0,5,0.0,17.0,16,17.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
GP,M,15,R,GT3,T,no,yes,no,yes,yes,yes,yes,yes,4.0,5.0,2,1.0,1.0,5,0.0,17.0,16,16.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
GP,M,15,U,LE3,T,no,no,no,yes,no,yes,yes,no,5.0,3.0,2,1.0,1.0,2,0.0,8.0,10,12.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
GP,M,16,U,GT3,T,no,yes,yes,no,no,yes,yes,no,5.0,4.0,3,1.0,1.0,5,0.0,12.0,14,15.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
GP,F,15,U,GT3,T,no,yes,no,yes,yes,yes,no,no,3.0,5.0,1,1.0,1.0,5,0.0,8.0,7,6.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
GP,M,15,U,LE3,T,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3,1.0,1.0,4,2.0,15.0,16,18.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
GP,M,16,R,GT3,A,no,yes,no,yes,yes,yes,yes,yes,2.0,4.0,3,1.0,1.0,5,7.0,15.0,16,15.0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
GP,F,15,R,GT3,T,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2,1.0,1.0,5,2.0,12.0,12,11.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
GP,F,15,R,GT3,T,yes,yes,yes,yes,yes,yes,no,no,4.0,3.0,1,1.0,1.0,2,8.0,14.0,13,13.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
GP,F,16,U,LE3,T,no,yes,no,yes,no,yes,yes,yes,3.0,3.0,3,1.0,2.0,3,25.0,7.0,10,11.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
GP,F,15,U,LE3,A,yes,yes,yes,yes,yes,yes,yes,yes,5.0,2.0,2,1.0,1.0,5,8.0,8.0,8,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
GP,M,16,U,GT3,T,no,no,no,yes,yes,yes,yes,no,4.0,2.0,2,1.0,1.0,2,4.0,19.0,19,20.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
GP,M,15,U,GT3,T,no,yes,yes,no,yes,yes,no,no,4.0,3.0,3,2.0,2.0,5,2.0,15.0,15,14.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
GP,F,15,U,GT3,T,yes,yes,no,yes,no,yes,yes,no,4.0,4.0,4,1.0,1.0,3,2.0,7.0,7,7.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
GP,F,15,U,LE3,T,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,3,1.0,1.0,5,2.0,11.0,13,13.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
GP,M,15,U,LE3,A,no,no,no,no,yes,yes,no,no,5.0,5.0,5,3.0,4.0,5,6.0,11.0,11,10.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
GP,F,15,U,GT3,T,yes,yes,yes,no,yes,yes,yes,no,3.0,3.0,4,2.0,3.0,5,0.0,8.0,10,11.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
GP,F,15,U,LE3,A,no,no,yes,no,yes,yes,yes,no,5.0,3.0,4,4.0,4.0,1,6.0,10.0,13,13.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
GP,F,16,U,GT3,A,no,no,yes,yes,yes,yes,yes,yes,5.0,3.0,4,1.0,1.0,2,8.0,8.0,9,10.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
GP,M,15,U,LE3,T,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2,1.0,1.0,5,2.0,9.0,10,9.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
GP,F,16,U,GT3,T,no,yes,no,no,yes,yes,yes,no,4.0,2.0,3,1.0,1.0,5,2.0,15.0,16,16.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
GP,F,16,R,GT3,T,no,yes,no,yes,yes,yes,no,no,2.0,4.0,4,2.0,3.0,4,6.0,10.0,11,11.0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
GP,F,16,U,GT3,T,yes,yes,no,yes,no,yes,yes,yes,5.0,5.0,5,5.0,5.0,5,6.0,10.0,8,11.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GP,F,16,U,LE3,T,yes,no,no,yes,yes,yes,yes,no,4.0,4.0,3,1.0,1.0,1,4.0,8.0,10,9.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
GP,F,16,U,GT3,T,yes,yes,yes,yes,yes,yes,yes,no,3.0,4.0,4,2.0,4.0,4,2.0,10.0,9,9.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
GP,F,16,U,LE3,T,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3,1.0,2.0,1,2.0,16.0,15,15.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
GP,M,15,U,GT3,A,no,yes,no,yes,no,yes,yes,yes,1.0,3.0,3,5.0,5.0,3,4.0,13.0,13,12.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
GP,F,16,U,GT3,T,yes,yes,yes,no,yes,yes,yes,no,4.0,3.0,3,1.0,2.0,5,4.0,7.0,7,6.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
GP,F,15,R,LE3,T,yes,yes,yes,no,yes,yes,yes,no,4.0,1.0,3,1.0,3.0,4,2.0,8.0,9,8.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
GP,F,15,R,LE3,T,no,yes,no,no,no,yes,yes,no,4.0,4.0,2,2.0,3.0,3,12.0,16.0,16,16.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
GP,M,16,U,GT3,T,no,yes,yes,no,yes,yes,yes,no,4.0,3.0,2,1.0,1.0,5,0.0,13.0,15,15.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
GP,M,15,U,GT3,T,no,no,no,no,yes,yes,yes,no,3.0,3.0,3,1.0,1.0,3,0.0,10.0,10,10.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
GP,F,15,R,GT3,T,yes,yes,no,no,no,yes,yes,yes,3.0,3.0,4,2.0,4.0,5,2.0,8.0,6,5.0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
GP,M,16,U,GT3,T,no,no,no,yes,yes,yes,no,no,5.0,3.0,2,2.0,2.0,5,2.0,12.0,12,14.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GP,F,16,U,GT3,T,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3,2.0,4.0,5,54.0,11.0,12,11.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
GP,M,15,U,GT3,T,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3,2.0,3.0,5,6.0,9.0,9,10.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
GP,M,17,U,GT3,T,yes,yes,no,yes,yes,no,yes,no,4.0,5.0,1,1.0,1.0,3,2.0,8.0,8,10.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
GP,F,16,U,GT3,T,no,yes,no,no,yes,yes,yes,no,2.0,4.0,3,1.0,2.0,3,12.0,5.0,5,5.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
GP,M,15,U,GT3,T,yes,yes,yes,yes,no,yes,yes,yes,3.0,2.0,2,1.0,3.0,3,2.0,10.0,12,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GP,M,15,U,GT3,T,yes,no,yes,no,no,yes,yes,no,5.0,3.0,2,1.0,2.0,5,4.0,11.0,10,11.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
GP,F,15,U,LE3,T,no,yes,yes,no,yes,yes,yes,no,4.0,4.0,4,1.0,1.0,5,10.0,7.0,6,6.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
GP,M,15,U,LE3,T,no,no,yes,yes,yes,yes,yes,no,5.0,3.0,3,1.0,3.0,4,4.0,15.0,15,15.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
GP,F,15,U,GT3,T,no,yes,no,yes,no,yes,yes,no,4.0,3.0,2,2.0,3.0,4,2.0,9.0,10,10.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GP,F,15,U,GT3,T,no,no,yes,no,yes,yes,yes,yes,4.0,4.0,4,2.0,3.0,5,6.0,7.0,9,8.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
GP,F,16,U,LE3,T,no,yes,no,no,yes,yes,no,no,4.0,3.0,4,1.0,2.0,2,4.0,8.0,7,6.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
GP,F,15,U,GT3,T,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3,1.0,3.0,1,4.0,13.0,14,14.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
GP,M,16,U,LE3,A,no,yes,no,no,yes,yes,no,no,4.0,1.0,3,3.0,5.0,5,18.0,8.0,6,7.0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
GP,F,16,U,GT3,T,no,yes,yes,no,yes,yes,yes,yes,4.0,3.0,3,1.0,3.0,4,0.0,7.0,7,8.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
GP,F,15,U,GT3,T,no,no,yes,yes,yes,yes,yes,no,4.0,5.0,5,1.0,3.0,1,4.0,16.0,17,18.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
GP,F,15,R,GT3,T,yes,yes,yes,yes,yes,yes,yes,no,3.0,1.0,2,1.0,1.0,1,2.0,7.0,10,10.0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
GP,F,16,U,GT3,T,no,yes,yes,no,yes,yes,no,yes,4.0,3.0,5,1.0,1.0,5,2.0,8.0,9,10.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
GP,M,16,U,GT3,T,yes,yes,yes,yes,yes,yes,yes,no,4.0,5.0,5,5.0,5.0,4,14.0,7.0,7,5.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
GP,M,16,U,GT3,T,no,yes,no,yes,yes,yes,yes,yes,4.0,4.0,3,1.0,1.0,4,0.0,16.0,17,17.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
GP,M,15,U,GT3,T,no,yes,no,yes,no,yes,yes,no,5.0,3.0,3,1.0,1.0,5,4.0,10.0,13,14.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
GP,F,15,U,GT3,T,yes,yes,yes,no,yes,yes,yes,no,4.0,3.0,5,1.0,1.0,2,26.0,7.0,6,6.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
GP,F,15,U,GT3,A,yes,no,no,no,yes,yes,no,no,4.0,3.0,3,1.0,1.0,4,10.0,10.0,11,11.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
GP,M,15,U,LE3,A,no,no,no,yes,yes,yes,yes,no,5.0,5.0,3,1.0,1.0,4,6.0,18.0,19,19.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
GP,F,16,R,GT3,T,yes,yes,no,yes,yes,yes,yes,no,4.0,1.0,2,1.0,1.0,2,0.0,7.0,10,10.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
GP,F,16,U,GT3,T,yes,no,no,yes,yes,yes,yes,no,3.0,1.0,2,1.0,1.0,5,6.0,10.0,13,13.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
GP,M,15,U,LE3,T,no,no,no,no,yes,yes,yes,no,3.0,5.0,2,1.0,1.0,3,10.0,18.0,19,19.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
GP,M,15,R,GT3,T,no,no,no,yes,yes,yes,yes,yes,5.0,4.0,2,1.0,1.0,5,8.0,9.0,9,9.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
GP,M,15,U,GT3,T,no,yes,no,yes,yes,yes,no,no,4.0,4.0,3,1.0,1.0,2,2.0,11.0,13,14.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
GP,M,16,U,GT3,T,no,no,no,yes,yes,yes,yes,no,5.0,4.0,2,1.0,1.0,5,0.0,13.0,14,13.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
GP,M,17,R,GT3,T,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,4,1.0,4.0,5,20.0,9.0,7,8.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
GP,M,15,U,GT3,T,no,no,no,no,yes,yes,yes,no,3.0,4.0,3,1.0,2.0,4,6.0,14.0,13,13.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GP,F,15,U,GT3,T,no,no,no,no,no,yes,yes,no,3.0,2.0,3,1.0,2.0,1,2.0,16.0,15,15.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
GP,M,16,U,GT3,T,no,yes,no,yes,yes,yes,yes,no,3.0,4.0,4,1.0,4.0,5,18.0,14.0,11,13.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
GP,M,15,U,GT3,T,yes,no,no,no,yes,yes,yes,no,5.0,5.0,5,3.0,2.0,5,0.0,13.0,13,12.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GP,M,18,R,GT3,T,no,yes,no,yes,yes,yes,yes,no,3.0,3.0,3,1.0,2.0,4,0.0,7.0,4,0.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
GP,F,15,R,GT3,T,no,yes,no,no,yes,yes,yes,yes,4.0,2.0,2,2.0,2.0,5,0.0,12.0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
GP,M,15,R,GT3,T,no,yes,no,no,yes,yes,no,yes,5.0,3.0,3,1.0,1.0,5,0.0,9.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
GP,F,15,U,GT3,T,no,yes,no,yes,yes,yes,yes,yes,4.0,3.0,3,1.0,1.0,5,0.0,11.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
GP,M,17,R,GT3,T,no,no,no,no,yes,yes,no,no,5.0,4.0,5,2.0,4.0,5,0.0,10.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
GP,F,16,U,GT3,A,no,yes,no,yes,no,yes,yes,yes,4.0,3.0,2,1.0,1.0,5,0.0,4.0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
GP,M,16,U,LE3,T,no,no,no,no,yes,yes,no,yes,4.0,4.0,4,1.0,3.0,5,0.0,14.0,12,12.0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
GP,F,15,U,GT3,T,no,no,no,yes,yes,yes,yes,no,4.0,3.0,2,1.0,1.0,5,0.0,16.0,16,15.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
GP,M,15,U,GT3,T,yes,yes,no,no,yes,yes,yes,no,2.0,2.0,2,1.0,1.0,3,0.0,7.0,9,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
GP,F,15,U,GT3,T,no,yes,yes,yes,yes,yes,yes,no,4.0,2.0,2,1.0,1.0,5,2.0,9.0,11,11.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
